Job_Role,Required_Skills
Network Engineer,"network security, tcp/ip, firewalls, cisco, switching"
Cybersecurity Analyst,"wireshark, ethical hacking, soc, incident response, network security, siem, firewalls"
Cloud Architect,"networking, docker, kubernetes, microservices, aws"
Software Tester,"test cases, api testing, selenium, bug tracking, manual testing, automation testing"
Game Developer,"unreal engine, blender, game physics, unity, multiplayer networking, 3d graphics, c#, c++"
UI/UX Designer,"prototyping, user research, design systems, responsive design"
Database Administrator,"sql, database tuning, performance optimization, postgresql, oracle"
iOS Developer,"ios, swiftui, swift, xcode, api integration"
Data Analyst,"excel, power bi, data visualization, tableau, dashboarding, python"
iOS Developer,"swift, core data, firebase, ios, api integration"
Frontend Developer,"vue, tailwind, css, html, redux, angular, figma"
iOS Developer,"api integration, swift, core data, firebase, ios, xcode, swiftui"
Full Stack Developer,"django, nodejs, tailwind, react, docker"
Software Tester,"automation testing, manual testing, jira, test cases, selenium, api testing, bug tracking"
AI Engineer,"llms, prompt engineering, transformers, openai api, deep learning, vector databases, rag"
Frontend Developer,"nextjs, tailwind, angular, figma, redux, vue, responsive design"
UI/UX Designer,"wireframing, figma, responsive design, adobe xd"
AR/VR Developer,"c#, vr interaction, arcore, 3d modeling, arkit"
Data Scientist,"seaborn, python, machine learning, sql, feature engineering"
UI/UX Designer,"design systems, adobe xd, wireframing, user research"
Backend Developer,"python, java, microservices, spring boot, postgresql, mongodb, express, redis"
AI Engineer,"llms, huggingface, langchain, vector databases, rag, nlp, python, openai api"
Machine Learning Engineer,"tensorflow, python, mlops, flask, pytorch, deep learning"
AR/VR Developer,"unreal engine, c#, vr interaction, unity, 3d modeling, arcore"
UI/UX Designer,"design systems, responsive design, adobe xd, prototyping, figma, user research"
Backend Developer,"java, express, redis, nodejs, microservices"
Data Analyst,"python, power bi, tableau, excel, sql, dashboarding, pandas, data visualization"
DevOps Engineer,"linux, terraform, monitoring, bash, kubernetes, docker, prometheus"
NLP Engineer,"llms, python, text classification, huggingface"
Site Reliability Engineer,"linux, kubernetes, aws, docker, terraform, prometheus, monitoring"
Cloud Architect,"docker, gcp, networking, cloud security, terraform, azure, aws"
Network Engineer,"routing, firewalls, network security, switching, vpn, tcp/ip"
DevOps Engineer,"github actions, kubernetes, terraform, docker"
Data Scientist,"numpy, machine learning, statistics, python, deep learning"
iOS Developer,"api integration, firebase, ios, xcode"
UI/UX Designer,"responsive design, adobe xd, design systems, prototyping, user research"
Frontend Developer,"responsive design, javascript, vue, html, tailwind, nextjs"
Frontend Developer,"bootstrap, redux, html, vue, angular"
NLP Engineer,"bert, transformers, sentiment analysis, text classification"
Blockchain Developer,"solidity, smart contracts, ethereum, cryptography, polygon, blockchain security, hardhat, defi"
Android Developer,"sqlite, material design, jetpack compose, android studio, java, kotlin, firebase, rest api"
Business Analyst,"sql, jira, requirement gathering, power bi, documentation, communication, excel"
Machine Learning Engineer,"pytorch, docker, model deployment, python, flask, mlops, computer vision, fastapi"
Business Analyst,"data analysis, power bi, requirement gathering, jira, sql, communication, excel, documentation"
Data Scientist,"scikit-learn, python, tensorflow, machine learning"
Data Scientist,"seaborn, matplotlib, pandas, deep learning, tensorflow, feature engineering, nlp, scikit-learn"
Blockchain Developer,"rust, cryptography, defi, ethereum, smart contracts, polygon"
AR/VR Developer,"unreal engine, arcore, arkit, unity, vr interaction"
Database Administrator,"backup recovery, postgresql, oracle, performance optimization"
DevOps Engineer,"kubernetes, bash, ansible, docker, prometheus"
Cloud Architect,"gcp, terraform, docker, linux, kubernetes, microservices, ci/cd, networking"
AR/VR Developer,"vr interaction, arcore, arkit, 3d modeling, c#, unreal engine, unity"
Database Administrator,"database tuning, postgresql, performance optimization, oracle"
AI Engineer,"huggingface, python, rag, langchain"
AR/VR Developer,"unity, unreal engine, arcore, c#"
iOS Developer,"ios, xcode, core data, swift, firebase, swiftui, api integration"
AR/VR Developer,"arcore, unity, unreal engine, c#, vr interaction"
Site Reliability Engineer,"terraform, docker, kubernetes, monitoring, linux, prometheus, incident management"
iOS Developer,"core data, ios, swift, api integration, firebase, swiftui"
Business Analyst,"requirement gathering, jira, communication, excel, data analysis"
Business Analyst,"data analysis, communication, documentation, power bi, sql, jira, requirement gathering"
AI Engineer,"prompt engineering, rag, python, tensorflow"
AI Engineer,"rag, tensorflow, llms, python, prompt engineering, openai api, huggingface, langchain"
Full Stack Developer,"sql, django, express, docker, javascript, rest api, nodejs, mongodb"
Game Developer,"c++, game physics, 3d graphics, unity, blender, multiplayer networking, unreal engine"
Frontend Developer,"react, responsive design, html, angular, bootstrap"
Database Administrator,"database tuning, backup recovery, postgresql, oracle"
AR/VR Developer,"vr interaction, arkit, c#, arcore, unreal engine, unity, 3d modeling"
AI Engineer,"llms, nlp, vector databases, transformers"
Data Analyst,"pandas, data visualization, tableau, sql, power bi, statistics, dashboarding"
AR/VR Developer,"unity, c#, vr interaction, 3d modeling, arcore, unreal engine, arkit"
Blockchain Developer,"defi, blockchain security, rust, cryptography"
Network Engineer,"vpn, firewalls, tcp/ip, linux"
Mobile App Developer,"dart, swift, api integration, mobile ui, flutter"
Site Reliability Engineer,"prometheus, kubernetes, linux, aws, terraform, monitoring"
Cybersecurity Analyst,"cryptography, firewalls, incident response, network security, soc, ethical hacking"
Database Administrator,"oracle, performance optimization, mysql, database tuning, postgresql"
Cloud Architect,"networking, docker, cloud security, aws, linux, ci/cd, microservices, gcp"
Embedded Systems Engineer,"raspberry pi, iot, embedded linux, c++"
Database Administrator,"performance optimization, sql, oracle, postgresql, database tuning, backup recovery, mysql"
Backend Developer,"java, mongodb, redis, nodejs, spring boot, rest api, postgresql"
Network Engineer,"network security, linux, switching, routing, vpn, tcp/ip"
QA Engineer,"cypress, postman, selenium, automation testing"
Blockchain Developer,"web3, blockchain security, smart contracts, solidity, polygon, rust, cryptography"
Cloud Architect,"azure, microservices, aws, kubernetes, gcp"
iOS Developer,"swift, xcode, ios, firebase"
Cloud Architect,"kubernetes, linux, networking, ci/cd, docker, gcp"
Computer Vision Engineer,"object detection, deep learning, tensorflow, python, image processing, yolo, cnn, opencv"
Network Engineer,"firewalls, network security, cisco, tcp/ip"
Data Analyst,"excel, sql, power bi, pandas"
Site Reliability Engineer,"prometheus, terraform, kubernetes, linux, docker, monitoring"
Data Scientist,"sql, numpy, seaborn, scikit-learn, tensorflow"
Machine Learning Engineer,"tensorflow, model deployment, flask, python, pytorch, docker, deep learning, computer vision"
Machine Learning Engineer,"deep learning, tensorflow, mlops, kubernetes, python, docker"
Cloud Architect,"terraform, docker, networking, ci/cd"
Database Administrator,"backup recovery, oracle, performance optimization, mysql, postgresql, sql, database tuning"
Data Scientist,"nlp, python, matplotlib, machine learning"
QA Engineer,"api testing, performance testing, postman, automation testing, cypress"
Machine Learning Engineer,"kubernetes, tensorflow, aws, computer vision, python, fastapi, pytorch"
Android Developer,"jetpack compose, android studio, sqlite, java, material design"
Network Engineer,"cisco, linux, routing, tcp/ip, vpn, firewalls, switching, network security"
Blockchain Developer,"cryptography, web3, hardhat, defi, smart contracts, blockchain security, polygon"
Machine Learning Engineer,"docker, python, mlops, fastapi, computer vision, tensorflow, aws"
Android Developer,"kotlin, material design, jetpack compose, sqlite, rest api"
Mobile App Developer,"mobile ui, flutter, android, kotlin, api integration"
AI Engineer,"transformers, rag, prompt engineering, huggingface, vector databases, langchain, python, tensorflow"
Backend Developer,"django, java, microservices, postgresql, rest api, redis, spring boot, nodejs"
Database Administrator,"postgresql, performance optimization, mysql, backup recovery, database tuning"
Network Engineer,"vpn, tcp/ip, cisco, network security"
Cloud Architect,"docker, azure, cloud security, microservices, linux"
Android Developer,"android studio, sqlite, material design, kotlin, jetpack compose"
AR/VR Developer,"arkit, unity, c#, unreal engine"
AI Engineer,"python, transformers, openai api, vector databases, llms, rag, deep learning"
Computer Vision Engineer,"deep learning, python, opencv, tensorflow, object detection"
Full Stack Developer,"firebase, sql, tailwind, javascript, nodejs, rest api, python"
Data Scientist,"python, tensorflow, pandas, matplotlib, numpy, feature engineering"
Full Stack Developer,"django, sql, react, javascript, nodejs, tailwind"
Full Stack Developer,"mongodb, django, python, tailwind, react, rest api"
Blockchain Developer,"ethereum, smart contracts, cryptography, polygon, solidity, web3, hardhat, rust"
Data Analyst,"dashboarding, data visualization, pandas, tableau"
Mobile App Developer,"swift, kotlin, flutter, api integration, dart, firebase, mobile ui"
Backend Developer,"java, django, rest api, microservices, postgresql, flask, nodejs, spring boot"
Mobile App Developer,"ios, flutter, swift, react native, android, firebase"
Android Developer,"material design, firebase, sqlite, android studio, kotlin, jetpack compose, java, rest api"
NLP Engineer,"transformers, nlp, llms, python"
Network Engineer,"routing, vpn, switching, network security, cisco"
QA Engineer,"automation testing, cypress, performance testing, selenium, postman"
Business Analyst,"power bi, data analysis, jira, communication, documentation"
DevOps Engineer,"bash, kubernetes, linux, github actions, terraform, monitoring"
Business Analyst,"documentation, jira, power bi, communication, excel, requirement gathering, sql, data analysis"
Network Engineer,"vpn, linux, tcp/ip, network security, firewalls, routing"
Blockchain Developer,"rust, blockchain security, cryptography, defi, polygon, smart contracts"
DevOps Engineer,"terraform, aws, prometheus, jenkins, linux, github actions, monitoring, kubernetes"
NLP Engineer,"python, nlp, transformers, huggingface, llms, bert, text classification"
Cloud Architect,"gcp, cloud security, ci/cd, terraform, networking, linux"
AI Engineer,"langchain, huggingface, transformers, prompt engineering, vector databases"
Database Administrator,"performance optimization, database tuning, sql, backup recovery, postgresql"
Machine Learning Engineer,"python, model deployment, flask, mlops, tensorflow, fastapi, pytorch"
AI Engineer,"llms, python, vector databases, rag, openai api, deep learning, transformers, langchain"
Software Tester,"bug tracking, api testing, selenium, jira, automation testing, manual testing, test cases"
Network Engineer,"linux, vpn, tcp/ip, firewalls, routing, switching, network security, cisco"
AR/VR Developer,"arcore, unity, unreal engine, 3d modeling, arkit, c#"
Data Analyst,"statistics, tableau, data visualization, excel, dashboarding, pandas"
Cloud Architect,"aws, microservices, kubernetes, terraform, gcp, linux, ci/cd, networking"
Android Developer,"firebase, rest api, material design, sqlite"
Cloud Architect,"azure, aws, docker, cloud security, microservices, linux"
UI/UX Designer,"wireframing, user research, adobe xd, figma, responsive design, design systems"
Site Reliability Engineer,"monitoring, incident management, docker, prometheus, terraform, aws, kubernetes, linux"
Business Analyst,"data analysis, jira, documentation, excel, power bi"
AR/VR Developer,"unreal engine, unity, arcore, vr interaction, c#"
Network Engineer,"vpn, firewalls, network security, switching, linux"
QA Engineer,"performance testing, selenium, automation testing, postman, api testing"
Cloud Architect,"networking, azure, docker, kubernetes, ci/cd, microservices"
Cloud Architect,"networking, aws, gcp, cloud security, azure"
Cloud Architect,"cloud security, linux, kubernetes, networking, microservices, azure"
Software Tester,"selenium, api testing, manual testing, jira"
Embedded Systems Engineer,"c, c++, arduino, raspberry pi"
Data Analyst,"data visualization, dashboarding, python, statistics, pandas, excel"
DevOps Engineer,"bash, linux, ansible, aws, prometheus, kubernetes"
Computer Vision Engineer,"opencv, tensorflow, yolo, python, image processing, cnn, deep learning"
Blockchain Developer,"cryptography, rust, ethereum, web3, solidity, polygon, blockchain security, defi"
iOS Developer,"swift, api integration, ios, xcode, firebase"
Data Analyst,"power bi, excel, pandas, data visualization, statistics, tableau, python, sql"
NLP Engineer,"nlp, llms, sentiment analysis, transformers, python, huggingface, bert"
Cybersecurity Analyst,"firewalls, ethical hacking, wireshark, siem, linux, cryptography, network security, soc"
Business Analyst,"data analysis, requirement gathering, sql, power bi, documentation"
Network Engineer,"cisco, routing, tcp/ip, switching, linux, network security, firewalls"
Frontend Developer,"vue, figma, nextjs, angular, tailwind"
Network Engineer,"tcp/ip, network security, routing, firewalls, switching, linux"
AI Engineer,"langchain, nlp, python, huggingface, prompt engineering, vector databases, openai api, rag"
Backend Developer,"java, flask, rest api, postgresql, microservices, spring boot, redis, express"
Network Engineer,"vpn, routing, switching, cisco"
Embedded Systems Engineer,"embedded linux, iot, arduino, c"
Backend Developer,"redis, python, rest api, flask, spring boot"
AI Engineer,"nlp, tensorflow, transformers, deep learning, huggingface"
Site Reliability Engineer,"prometheus, incident management, linux, docker, monitoring, terraform, aws"
DevOps Engineer,"github actions, docker, kubernetes, linux"
Computer Vision Engineer,"object detection, tensorflow, deep learning, python, image processing, opencv, cnn"
UI/UX Designer,"user research, prototyping, adobe xd, figma, design systems, responsive design, wireframing"
Data Analyst,"sql, tableau, data visualization, python"
DevOps Engineer,"kubernetes, monitoring, jenkins, prometheus, ansible, bash, linux, aws"
Business Analyst,"requirement gathering, communication, sql, data analysis, power bi, documentation"
Game Developer,"unity, unreal engine, c#, game physics, multiplayer networking, 3d graphics, c++"
AI Engineer,"tensorflow, prompt engineering, rag, nlp, transformers"
Machine Learning Engineer,"aws, computer vision, fastapi, mlops, python, pytorch"
UI/UX Designer,"adobe xd, user research, prototyping, wireframing, responsive design, figma"
Blockchain Developer,"solidity, smart contracts, ethereum, cryptography"
Data Scientist,"machine learning, matplotlib, deep learning, seaborn, nlp, numpy"
Mobile App Developer,"swift, api integration, kotlin, dart, flutter, android, react native, mobile ui"
Mobile App Developer,"ios, swift, firebase, kotlin, flutter, android, react native, mobile ui"
UI/UX Designer,"adobe xd, wireframing, user research, figma"
Game Developer,"c#, 3d graphics, unity, c++, unreal engine, blender, multiplayer networking"
Business Analyst,"requirement gathering, excel, power bi, sql, data analysis"
DevOps Engineer,"docker, jenkins, linux, prometheus, aws, monitoring, bash"
NLP Engineer,"transformers, llms, text classification, sentiment analysis"
Computer Vision Engineer,"image processing, yolo, opencv, python, cnn, object detection, deep learning"
AR/VR Developer,"arkit, 3d modeling, unreal engine, unity, arcore, c#, vr interaction"
Full Stack Developer,"tailwind, nodejs, mongodb, react, firebase"
Cloud Architect,"ci/cd, microservices, cloud security, gcp, terraform, aws, azure"
Full Stack Developer,"django, tailwind, javascript, sql, python"
NLP Engineer,"sentiment analysis, nlp, bert, huggingface"
DevOps Engineer,"monitoring, terraform, kubernetes, github actions, jenkins, bash"
Data Scientist,"numpy, statistics, deep learning, sql, seaborn"
AR/VR Developer,"arcore, vr interaction, c#, unity"
QA Engineer,"performance testing, cypress, automation testing, selenium, postman"
Backend Developer,"express, flask, java, mongodb, microservices, nodejs, postgresql"
Machine Learning Engineer,"model deployment, flask, computer vision, mlops"
Full Stack Developer,"firebase, javascript, nodejs, express, tailwind, mongodb"
AR/VR Developer,"unity, vr interaction, c#, arkit, unreal engine"
Data Analyst,"python, dashboarding, pandas, data visualization"
Machine Learning Engineer,"computer vision, deep learning, fastapi, kubernetes, aws, python, pytorch"
Frontend Developer,"javascript, css, redux, figma, vue"
Database Administrator,"postgresql, performance optimization, sql, mysql, backup recovery"
Database Administrator,"sql, postgresql, oracle, backup recovery, mysql, performance optimization, database tuning"
Machine Learning Engineer,"computer vision, flask, python, mlops, kubernetes, pytorch, aws"
DevOps Engineer,"prometheus, docker, aws, terraform, jenkins"
Data Analyst,"python, power bi, data visualization, tableau, sql, dashboarding, excel"
Mobile App Developer,"react native, firebase, android, swift, kotlin, mobile ui, api integration, flutter"
QA Engineer,"postman, performance testing, automation testing, selenium, api testing, cypress"
Software Tester,"manual testing, automation testing, api testing, jira, test cases, selenium, bug tracking"
Computer Vision Engineer,"tensorflow, cnn, yolo, object detection, deep learning"
iOS Developer,"api integration, firebase, swift, xcode, swiftui"
NLP Engineer,"nlp, sentiment analysis, huggingface, bert, transformers, llms, text classification"
Software Tester,"automation testing, jira, api testing, manual testing, bug tracking, test cases"
AI Engineer,"langchain, rag, tensorflow, openai api, nlp, vector databases, python"
Cloud Architect,"networking, gcp, linux, azure, ci/cd, docker"
Frontend Developer,"figma, tailwind, react, vue, nextjs, javascript, html, css"
AI Engineer,"vector databases, llms, prompt engineering, langchain"
UI/UX Designer,"user research, wireframing, adobe xd, prototyping, design systems, figma"
DevOps Engineer,"prometheus, kubernetes, monitoring, linux, ansible, docker, jenkins"
Game Developer,"c#, blender, c++, 3d graphics, unreal engine, multiplayer networking, game physics"
Backend Developer,"mongodb, flask, express, rest api"
Cloud Architect,"linux, terraform, aws, ci/cd, gcp"
Embedded Systems Engineer,"raspberry pi, embedded linux, iot, c++"
UI/UX Designer,"user research, design systems, prototyping, wireframing, adobe xd, responsive design, figma"
Database Administrator,"oracle, mysql, postgresql, sql, backup recovery, performance optimization, database tuning"
Backend Developer,"express, python, django, nodejs, flask, postgresql, rest api, microservices"
Embedded Systems Engineer,"arduino, c, iot, embedded linux, raspberry pi, microcontrollers, c++"
Database Administrator,"mysql, performance optimization, sql, oracle, database tuning, postgresql, backup recovery"
Software Tester,"bug tracking, jira, test cases, selenium"
Site Reliability Engineer,"kubernetes, incident management, terraform, aws, monitoring, docker, linux"
Backend Developer,"express, mongodb, nodejs, flask, redis, microservices, spring boot, rest api"
iOS Developer,"firebase, swiftui, swift, api integration"
Computer Vision Engineer,"python, image processing, opencv, yolo, object detection, deep learning"
AI Engineer,"transformers, huggingface, prompt engineering, vector databases, nlp, langchain"
Cybersecurity Analyst,"network security, wireshark, incident response, siem, firewalls, cryptography"
Site Reliability Engineer,"monitoring, incident management, prometheus, docker, linux, terraform, kubernetes, aws"
Embedded Systems Engineer,"embedded linux, iot, raspberry pi, c, microcontrollers, arduino, c++"
Cloud Architect,"azure, networking, gcp, terraform, cloud security, docker, linux, aws"
Game Developer,"c#, unity, unreal engine, 3d graphics, game physics, c++, multiplayer networking, blender"
Business Analyst,"power bi, data analysis, documentation, sql, communication"
Blockchain Developer,"web3, hardhat, solidity, blockchain security, rust"
Full Stack Developer,"sql, docker, tailwind, nodejs, javascript"
Database Administrator,"backup recovery, sql, postgresql, performance optimization, oracle, mysql, database tuning"
Network Engineer,"network security, linux, cisco, firewalls, tcp/ip, routing, switching, vpn"
Network Engineer,"firewalls, linux, switching, network security, routing, vpn, cisco, tcp/ip"
Cybersecurity Analyst,"wireshark, soc, ethical hacking, vulnerability assessment, linux"
QA Engineer,"performance testing, api testing, selenium, automation testing, postman"
Cloud Architect,"terraform, linux, gcp, azure, microservices"
UI/UX Designer,"design systems, wireframing, prototyping, figma, responsive design"
Data Analyst,"tableau, sql, dashboarding, statistics, python"
Blockchain Developer,"web3, ethereum, smart contracts, polygon, solidity, rust"
Site Reliability Engineer,"kubernetes, incident management, linux, docker, aws, terraform, prometheus, monitoring"
Mobile App Developer,"react native, firebase, ios, dart, android, api integration, mobile ui, kotlin"
Full Stack Developer,"react, tailwind, firebase, mongodb, express, javascript, rest api"
Database Administrator,"performance optimization, oracle, mysql, backup recovery, postgresql"
Network Engineer,"routing, linux, firewalls, switching, tcp/ip"
DevOps Engineer,"ansible, bash, docker, prometheus, terraform"
Cybersecurity Analyst,"network security, firewalls, penetration testing, linux, vulnerability assessment, wireshark, incident response, ethical hacking"
